ID,Address,Street,Neighbourhood,City,Price,Bathroom,Bedroom,Link,
2020/10/16,l885689,4499 Escarpment Dr,Escarpment Dr,Rural Burlington,Burlington,"$2,799,000",3 baths,4 beds,https://burlington.listing.ca/4499-escarpment-dr.W4955625.htm#10x-1
2020/10/16,l885686,412 Melores Dr,Melores Dr,Appleby,Burlington,"$749,000",2 baths,4+1 beds,https://burlington.listing.ca/412-melores-dr.W4955612.htm#10x-2
2020/10/16,l885676,3199 Centennial Dr,Centennial Dr,Palmer,Burlington,"$999,900",3 baths,3+1 beds,https://burlington.listing.ca/3199-centennial-dr.W4955575.htm#10x-3
2020/10/16,l885575,101 Masonry Crt A110,Masonry Crt,LaSalle,Burlington,"$494,900",1 baths,1 beds,https://burlington.listing.ca/101-masonry-crt-a110.W4955635.htm#10x-4
2020/10/16,l885430,107 Foxbar Rd,Foxbar Rd,Appleby,Burlington,"$1,075,000",2 baths,3+1 beds,https://burlington.listing.ca/107-foxbar-rd.W4955436.htm#10x-5
2020/10/16,l885408,2219 Prescott Pl,Prescott Pl,Orchard,Burlington,"$649,900",2 baths,3 beds,https://burlington.listing.ca/2219-prescott-pl.W4955270.htm#10x-6
2020/10/16,l885405,3198 Bunkerhill Pl,Bunkerhill Pl,Alton,Burlington,"$1,059,990",4 baths,4+1 beds,https://burlington.listing.ca/3198-bunkerhill-pl.W4955258.htm#10x-7
2020/10/16,l885397,532 Hurd Ave,Hurd Ave,Brant,Burlington,"$1,569,000",3 baths,3+1 beds,https://burlington.listing.ca/532-hurd-ave.W4955227.htm#10x-8
2020/10/16,l885379,743 Mullin Way,Mullin Way,Appleby,Burlington,"$899,900",2 baths,3+1 beds,https://burlington.listing.ca/743-mullin-way.W4955102.htm#10x-9
2020/10/16,l885375,2186 Charnwood Dr,Charnwood Dr,Headon,Burlington,"$1,099,900",4 baths,4+1 beds,https://burlington.listing.ca/2186-charnwood-dr.W4955088.htm#10x-a
2020/10/16,l885326,1192 Tavistock Dr,Tavistock Dr,Mountainside,Burlington,"$775,000",2 baths,3 beds,https://burlington.listing.ca/1192-tavistock-dr.W4954718.htm#10x-b
2020/10/16,l885023,2087 Fairview St 808,Fairview St,Brant,Burlington,"$575,000",2 baths,2 beds,https://burlington.listing.ca/2087-fairview-st-808.W4954888.htm#10x-c
2020/10/16,l885019,4045 Upper Middle Rd 58,Upper Middle Rd,Rose,Burlington,"$650,000",2 baths,2 beds,https://burlington.listing.ca/4045-upper-middle-rd-58.W4954823.htm#10x-d
2020/10/16,l885013,3001 Centennial Dr #25,Centennial Dr,Palmer,Burlington,"$449,900",3 baths,3 beds,https://burlington.listing.ca/3001-centennial-dr-25.W4954754.htm#10x-e
2020/10/16,l884598,3211 Tania Cres,Tania Cres,Headon,Burlington,"$1,189,000",3 baths,4 beds,https://burlington.listing.ca/3211-tania-cres.W4954295.htm#10x-f
2020/10/16,l884391,5317 Upper Middle Rd 114,Upper Middle Rd,Orchard,Burlington,"$429,000",1 baths,1 beds,https://burlington.listing.ca/5317-upper-middle-rd-114.W4954586.htm#10x-g
2020/10/16,l884301,360 Pearl St 601,Pearl St,Brant,Burlington,"$799,000",2 baths,2 beds,https://burlington.listing.ca/360-pearl-st-601.W4954215.htm#10x-h
2020/10/16,l884236,525 Timber Lane,Timber Lane,Appleby,Burlington,"$529,900",2 baths,3 beds,https://burlington.listing.ca/525-timber-lane.W4954397.htm#10x-i
2020/10/16,l884111,4013 Kilmer Dr 312,Kilmer Dr,Tansley,Burlington,"$509,999",2 baths,2 beds,https://burlington.listing.ca/4013-kilmer-dr-312.W4953930.htm#10x-j
2020/10/16,l884065,5318 Spruce Ave,Spruce Ave,Appleby,Burlington,"$990,900",4 baths,4+1 beds,https://burlington.listing.ca/5318-spruce-ave.W4953809.htm#10x-k
2020/10/16,l884040,1366 Treeland St,Treeland St,Freeman,Burlington,"$635,000",2 baths,2 beds,https://burlington.listing.ca/1366-treeland-st.W4953600.htm#10x-l
2020/10/16,l883971,5555 Prince William Dr 45,Prince William Dr,Bronte Creek,Burlington,"$599,999",3 baths,3 beds,https://burlington.listing.ca/5555-prince-william-dr-45.W4953749.htm#10x-m
2020/10/16,l883967,2081 Fairview St 305,Fairview St,Freeman,Burlington,"$484,900",1 baths,1 beds,https://burlington.listing.ca/2081-fairview-st-305.W4953697.htm#10x-n
2020/10/16,l883776,6475 Mcniven Rd,Mcniven Rd,Rural Burlington,Burlington,"$2,049,000",3 baths,6 beds,https://burlington.listing.ca/6475-mcniven-rd.W4953197.htm#10x-o
2020/10/16,l883488,918 Francis Rd,Francis Rd,LaSalle,Burlington,"$850,000",2 baths,3+1 beds,https://burlington.listing.ca/918-francis-rd.W4952590.htm#10x-p
2020/10/16,l883482,4481 Rogers Rd,Rogers Rd,Shoreacres,Burlington,"$1,298,000",2 baths,4 beds,https://burlington.listing.ca/4481-rogers-rd.W4952556.htm#10x-q
2020/10/16,l883468,5090 Fairview St 38,Fairview St,Appleby,Burlington,"$724,900",4 baths,3 beds,https://burlington.listing.ca/5090-fairview-st-38.W4952449.htm#10x-r
2020/10/16,l883463,2284 Fassel Ave,Fassel Ave,Freeman,Burlington,"$789,900",2 baths,3+1 beds,https://burlington.listing.ca/2284-fassel-ave.W4952407.htm#10x-s
2020/10/16,l883452,622 Maple Ave,Maple Ave,Brant,Burlington,"$1,099,000",2 baths,3 beds,https://burlington.listing.ca/622-maple-ave.W4952269.htm#10x-t
2020/10/16,l883434,5147 Lampman Ave,Lampman Ave,Uptown,Burlington,"$729,000",2 baths,2 beds,https://burlington.listing.ca/5147-lampman-ave.W4952116.htm#10x-u
2020/10/16,l883248,1220 Thorpe Rd 120,Thorpe Rd,Brant,Burlington,"$399,000",2 baths,2 beds,https://burlington.listing.ca/1220-thorpe-rd-120.W4953430.htm#10x-v
2020/10/16,l883247,551 Maple Ave 702,Maple Ave,Brant,Burlington,"$534,900",1 baths,1 beds,https://burlington.listing.ca/551-maple-ave-702.W4953418.htm#10x-w
2020/10/16,l883239,1095 Skyview Dr 13,Skyview Dr,Tyandaga,Burlington,"$1,079,000",4 baths,3 beds,https://burlington.listing.ca/1095-skyview-dr-13.W4953325.htm#10x-x
2020/10/16,l883212,1751 Lampman Ave 57,Lampman Ave,Uptown,Burlington,"$598,000",2 baths,1+1 beds,https://burlington.listing.ca/1751-lampman-ave-57.W4952972.htm#10x-y
2020/10/16,l883209,5020 Corporate Dr 203,Corporate Dr,Uptown,Burlington,"$459,900",1 baths,1+1 beds,https://burlington.listing.ca/5020-corporate-dr-203.W4952940.htm#10x-z
2020/10/16,l882876,2069 Meadowbrook Rd 1,Meadowbrook Rd,Mountainside,Burlington,"$450,000",1 baths,3 beds,https://burlington.listing.ca/2069-meadowbrook-rd-1.W4952112.htm#10x-10
2020/10/16,l882024,4218 Prudham Ave,Prudham Ave,Alton,Burlington,"$829,900",4 baths,3 beds,https://burlington.listing.ca/4218-prudham-ave.W4950759.htm#10x-11
2020/10/16,l881969,4830 Valera Rd,Valera Rd,Alton,Burlington,"$749,900",3 baths,3 beds,https://burlington.listing.ca/4830-valera-rd.W4950404.htm#10x-12
2020/10/16,l881964,1351 Monmouth Dr,Monmouth Dr,Tyandaga,Burlington,"$1,399,000",4 baths,3+2 beds,https://burlington.listing.ca/1351-monmouth-dr.W4950364.htm#10x-13
2020/10/16,l881955,1022 Gallagher Rd,Gallagher Rd,LaSalle,Burlington,"$749,000",2 baths,3+2 beds,https://burlington.listing.ca/1022-gallagher-rd.W4950302.htm#10x-14
2020/10/16,l881735,5230 Dundas St A203,Dundas St,Orchard,Burlington,"$574,990",3 baths,3 beds,https://burlington.listing.ca/5230-dundas-st-a203.W4951471.htm#10x-15
2020/10/16,l881704,1284 Guelph Line 306,Guelph Line,Mountainside,Burlington,"$399,900",1 baths,1 beds,https://burlington.listing.ca/1284-guelph-line-306.W4951130.htm#10x-16
2020/10/16,l881421,101 Masonry Crt A212,Masonry Crt,LaSalle,Burlington,"$649,900",2 baths,2 beds,https://burlington.listing.ca/101-masonry-crt-a212.W4951009.htm#10x-17
