ID,Address,Street,Neighbourhood,City,Price,Bathroom,Bedroom,Link,
2020/10/16,l885751,10 Moraine Pl,Moraine Pl,Rural Caledon,Caledon,"$2,399,000",5 baths,3+2 beds,https://caledon.listing.ca/10-moraine-pl.W4955827.htm#y0-1
2020/10/16,l885346,61 Doris Pawley Cres,Doris Pawley Cres,Rural Caledon,Caledon,"$769,900",3 baths,3 beds,https://caledon.listing.ca/61-doris-pawley-cres.W4954871.htm#y0-2
2020/10/16,l885342,45 Riverwood Terr,Riverwood Terr,Bolton East,Caledon,"$1,064,000",4 baths,4+1 beds,https://caledon.listing.ca/45-riverwood-terr.W4954851.htm#y0-3
2020/10/16,l885329,700 Bush St,Bush St,Rural Caledon,Caledon,"$1,350,000",4 baths,4 beds,https://caledon.listing.ca/700-bush-st.W4954742.htm#y0-4
2020/10/16,l885318,101 Larson Peak Rd,Larson Peak Rd,Rural Caledon,Caledon,"$1,350,000",4 baths,4 beds,https://caledon.listing.ca/101-larson-peak-rd.W4954627.htm#y0-5
2020/10/16,l885312,70 Humbershed Cres,Humbershed Cres,Bolton West,Caledon,"$849,999",3 baths,4 beds,https://caledon.listing.ca/70-humbershed-cres.W4954599.htm#y0-6
2020/10/16,l884739,14065 Kennedy Rd,Kennedy Rd,Rural Caledon,Caledon,"$1,799,000",4 baths,4+2 beds,https://caledon.listing.ca/14065-kennedy-rd.W4954509.htm#y0-7
2020/10/16,l884582,20181 Willoughby Rd,Willoughby Rd,Rural Caledon,Caledon,"$1,200,000",3 baths,3+2 beds,https://caledon.listing.ca/20181-willoughby-rd.W4954285.htm#y0-8
2020/10/16,l884564,47 Whitbread Ave,Whitbread Ave,Bolton East,Caledon,"$1,049,900",4 baths,4 beds,https://caledon.listing.ca/47-whitbread-ave.W4954395.htm#y0-9
2020/10/16,l884554,18 Diamondwood Dr,Diamondwood Dr,Rural Caledon,Caledon,"$2,378,800",5 baths,3+1 beds,https://caledon.listing.ca/18-diamondwood-dr.W4954328.htm#y0-a
2020/10/16,l884152,3 Mccauley Dr,Mccauley Dr,Palgrave,Caledon,"$1,479,900",5 baths,4 beds,https://caledon.listing.ca/3-mccauley-dr.W4953896.htm#y0-b
2020/10/16,l884043,25 Deer Valley Dr,Deer Valley Dr,Bolton West,Caledon,"$879,000",3 baths,4 beds,https://caledon.listing.ca/25-deer-valley-dr.W4953618.htm#y0-c
2020/10/16,l883790,17 Tanglewood Dr,Tanglewood Dr,Rural Caledon,Caledon,"$1,988,888",4 baths,4+1 beds,https://caledon.listing.ca/17-tanglewood-dr.W4953354.htm#y0-d
2020/10/16,l883787,10 Oceans Pond Crt,Oceans Pond Crt,Caledon East,Caledon,"$1,469,000",4 baths,4 beds,https://caledon.listing.ca/10-oceans-pond-crt.W4953345.htm#y0-e
2020/10/16,l883746,56 Highmore Ave,Highmore Ave,Bolton East,Caledon,"$919,900",3 baths,3 beds,https://caledon.listing.ca/56-highmore-ave.W4953004.htm#y0-f
