ID,Address,Street,Neighbourhood,City,Price,Bathroom,Bedroom,Link,
2020/10/16,l885718,47 Chianti Cres,Chianti Cres,Winona,Hamilton,"$859,900",4 baths,3 beds,https://hamilton.listing.ca/47-chianti-cres.X4955668.htm#1b-1
2020/10/16,l885714,116 Ridge St,Ridge St,Greeningdon,Hamilton,"$539,777",2 baths,3+1 beds,https://hamilton.listing.ca/116-ridge-st.X4955641.htm#1b-2
2020/10/16,l885711,64 Munn St,Munn St,Raleigh,Hamilton,"$389,900",1 baths,2 beds,https://hamilton.listing.ca/64-munn-st.X4955567.htm#1b-3
2020/10/16,l885706,79 Goldenview Crt,Goldenview Crt,Waterdown,Hamilton,"$939,000",4 baths,2 beds,https://hamilton.listing.ca/79-goldenview-crt.X4955525.htm#1b-4
2020/10/16,l885495,17 Shamrock Crt,Shamrock Crt,Lawfield,Hamilton,"$649,900",2 baths,3 beds,https://hamilton.listing.ca/17-shamrock-crt.X4955413.htm#1b-5
2020/10/16,l885494,115 Lynbrook Dr,Lynbrook Dr,Rolston,Hamilton,"$671,900",2 baths,3 beds,https://hamilton.listing.ca/115-lynbrook-dr.X4955405.htm#1b-6
2020/10/16,l885493,201 East 12th St,East 12th St,Inch Park,Hamilton,"$479,900",2 baths,3 beds,https://hamilton.listing.ca/201-east-12th-st.X4955368.htm#1b-7
2020/10/16,l885487,7 West Glen Ave,West Glen Ave,Stoney Creek,Hamilton,"$879,999",4 baths,4 beds,https://hamilton.listing.ca/7-west-glen-ave.X4955263.htm#1b-8
2020/10/16,l885482,707 Barton St,Barton St,Stoney Creek,Hamilton,"$699,900",2 baths,3+1 beds,https://hamilton.listing.ca/707-barton-st.X4955198.htm#1b-9
2020/10/16,l885470,38 Fox Run,Fox Run,Waterdown,Hamilton,"$675,000",3 baths,3 beds,https://hamilton.listing.ca/38-fox-run.X4955013.htm#1b-a
2020/10/16,l885461,3 Don St,Don St,Dundas,Hamilton,"$790,000",4 baths,3+3 beds,https://hamilton.listing.ca/3-don-st.X4954836.htm#1b-b
2020/10/16,l885454,219 Hess St,Hess St,Durand,Hamilton,"$649,900",2 baths,3 beds,https://hamilton.listing.ca/219-hess-st.X4954783.htm#1b-c
2020/10/16,l885452,101 Anna Capri Dr,Anna Capri Dr,Templemead,Hamilton,"$499,900",2 baths,3+1 beds,https://hamilton.listing.ca/101-anna-capri-dr.X4954758.htm#1b-d
2020/10/16,l885444,78 Dundurn St,Dundurn St,Strathcona,Hamilton,"$549,900",2 baths,3 beds,https://hamilton.listing.ca/78-dundurn-st.X4954667.htm#1b-e
2020/10/16,l885443,72 Dundurn St,Dundurn St,Strathcona,Hamilton,"$649,900",4 baths,4+1 beds,https://hamilton.listing.ca/72-dundurn-st.X4954650.htm#1b-f
2020/10/16,l885097,35 Southshore Cres 403,Southshore Cres,Stoney Creek,Hamilton,"$599,900",2 baths,2 beds,https://hamilton.listing.ca/35-southshore-cres-403.X4955558.htm#1b-g
2020/10/16,l885094,495 8 Highway 414,8 Highway,Stoney Creek,Hamilton,"$369,900",2 baths,2 beds,https://hamilton.listing.ca/495-8-highway-414.X4955328.htm#1b-h
2020/10/16,l885093,125 Shoreview Pl 502,Shoreview Pl,Stoney Creek,Hamilton,"$429,900",1 baths,1 beds,https://hamilton.listing.ca/125-shoreview-pl-502.X4955163.htm#1b-i
2020/10/16,l885092,58 Riverdale Dr,Riverdale Dr,Riverdale,Hamilton,"$359,900",2 baths,3 beds,https://hamilton.listing.ca/58-riverdale-dr.X4955052.htm#1b-j
2020/10/16,l885089,4 Victoria St 19,Victoria St,Waterdown,Hamilton,"$650,000",4 baths,3 beds,https://hamilton.listing.ca/4-victoria-st-19.X4954800.htm#1b-k
2020/10/16,l884745,73 Cole St,Cole St,Waterdown,Hamilton,"$698,800",4 baths,3 beds,https://hamilton.listing.ca/73-cole-st.X4954442.htm#1b-l
2020/10/16,l884638,20 Heming Tr,Heming Tr,Ancaster,Hamilton,"$729,000",3 baths,3 beds,https://hamilton.listing.ca/20-heming-tr.X4954428.htm#1b-m
2020/10/16,l884625,88 Bradbury Rd,Bradbury Rd,Stoney Creek,Hamilton,"$599,999",3 baths,3 beds,https://hamilton.listing.ca/88-bradbury-rd.X4954137.htm#1b-n
2020/10/16,l884618,137 Harnesworth Cres,Harnesworth Cres,Waterdown,Hamilton,"$674,900",3 baths,3 beds,https://hamilton.listing.ca/137-harnesworth-cres.X4954189.htm#1b-o
2020/10/16,l884563,222 Fall Fair Way 18,Fall Fair Way,Binbrook,Hamilton,"$634,900",4 baths,3 beds,https://hamilton.listing.ca/222-fall-fair-way-18.X4954438.htm#1b-p
2020/10/16,l884360,255 Mount Albion Rd 74,Mount Albion Rd,Red Hill,Hamilton,"$499,990",3 baths,3 beds,https://hamilton.listing.ca/255-mount-albion-rd-74.X4954066.htm#1b-q
2020/10/16,l884302,85 Albright Rd 30,Albright Rd,Vincent,Hamilton,"$449,000",2 baths,3 beds,https://hamilton.listing.ca/85-albright-rd-30.X4954248.htm#1b-r
2020/10/16,l884162,67 Gary Ave,Gary Ave,Ainslie Wood,Hamilton,"$499,900",2 baths,2+2 beds,https://hamilton.listing.ca/67-gary-ave.X4953917.htm#1b-s
2020/10/16,l884083,4 Thornlodge Dr,Thornlodge Dr,Waterdown,Hamilton,"$578,000",4 baths,3 beds,https://hamilton.listing.ca/4-thornlodge-dr.X4953798.htm#1b-t
2020/10/16,l884081,34 Cambridge Ave,Cambridge Ave,Crown Point,Hamilton,"$399,900",2 baths,3 beds,https://hamilton.listing.ca/34-cambridge-ave.X4953732.htm#1b-u
2020/10/16,l884079,192 Mary St,Mary St,Beasley,Hamilton,"$549,000",4 baths,4+2 beds,https://hamilton.listing.ca/192-mary-st.X4953722.htm#1b-v
2020/10/16,l884075,281 Ottawa St,Ottawa St,Delta,Hamilton,"$649,900",3 baths,3+1 beds,https://hamilton.listing.ca/281-ottawa-st.X4953667.htm#1b-w
2020/10/16,l883859,69 East 31st St,East 31st St,Raleigh,Hamilton,"$399,900",2 baths,2 beds,https://hamilton.listing.ca/69-east-31st-st.X4953473.htm#1b-x
2020/10/16,l883857,39 Murray St,Murray St,Beasley,Hamilton,"$524,900",1 baths,3 beds,https://hamilton.listing.ca/39-murray-st.X4953444.htm#1b-y
2020/10/16,l883853,7 Cornelia Crt,Cornelia Crt,Rural Flamborough,Hamilton,"$1,284,900",3 baths,4+1 beds,https://hamilton.listing.ca/7-cornelia-crt.X4953375.htm#1b-z
2020/10/16,l883851,49 Mayflower Ave,Mayflower Ave,Crown Point,Hamilton,"$299,900",2 baths,2 beds,https://hamilton.listing.ca/49-mayflower-ave.X4953322.htm#1b-10
2020/10/16,l883850,53 Ossington Dr,Ossington Dr,Broughton,Hamilton,"$599,990",2 baths,3 beds,https://hamilton.listing.ca/53-ossington-dr.X4953305.htm#1b-11
2020/10/16,l883839,113 Hillview St,Hillview St,Ainslie Wood,Hamilton,"$599,900",3 baths,4+2 beds,https://hamilton.listing.ca/113-hillview-st.X4953220.htm#1b-12
2020/10/16,l883837,14 Balsam Ave,Balsam Ave,Gibson,Hamilton,"$589,900",4 baths,3+1 beds,https://hamilton.listing.ca/14-balsam-ave.X4953168.htm#1b-13
2020/10/16,l883830,123 East Ave,East Ave,Landsdale,Hamilton,"$399,999",1 baths,3 beds,https://hamilton.listing.ca/123-east-ave.X4952977.htm#1b-14
2020/10/16,l883819,44 Karen Cres,Karen Cres,Mountview,Hamilton,"$699,990",2 baths,3+1 beds,https://hamilton.listing.ca/44-karen-cres.X4952811.htm#1b-15
2020/10/16,l883535,10 St. Matthews Ave,St. Matthews Ave,Beasley,Hamilton,"$424,990",2 baths,3+2 beds,https://hamilton.listing.ca/10-st-matthews-ave.X4952744.htm#1b-16
2020/10/16,l883530,209 Fall Fair Way,Fall Fair Way,Binbrook,Hamilton,"$574,900",4 baths,3 beds,https://hamilton.listing.ca/209-fall-fair-way.X4952655.htm#1b-17
2020/10/16,l883528,120 Inverness Ave,Inverness Ave,Centremount,Hamilton,"$650,000",2 baths,3+1 beds,https://hamilton.listing.ca/120-inverness-ave.X4952639.htm#1b-18
2020/10/16,l883525,272 East 32nd St,East 32nd St,Macassa,Hamilton,"$599,900",2 baths,3+2 beds,https://hamilton.listing.ca/272-east-32nd-st.X4952568.htm#1b-19
2020/10/16,l883518,71 Palacebeach Tr,Palacebeach Tr,Stoney Creek,Hamilton,"$599,900",4 baths,3 beds,https://hamilton.listing.ca/71-palacebeach-tr.X4952495.htm#1b-1a
2020/10/16,l883510,10 Placid Pl,Placid Pl,Corman,Hamilton,"$1,299,000",3 baths,5+1 beds,https://hamilton.listing.ca/10-placid-pl.X4952353.htm#1b-1b
2020/10/16,l883508,38 Cartwright Ave,Cartwright Ave,Stoney Creek,Hamilton,"$689,931",3 baths,3+1 beds,https://hamilton.listing.ca/38-cartwright-ave.X4952292.htm#1b-1c
2020/10/16,l883505,129 Beland Ave,Beland Ave,Rosedale,Hamilton,"$549,900",2 baths,2+2 beds,https://hamilton.listing.ca/129-beland-ave.X4952149.htm#1b-1d
2020/10/16,l883278,897 Stone Church Rd 18,Stone Church Rd,Quinndale,Hamilton,"$299,900",2 baths,2 beds,https://hamilton.listing.ca/897-stone-church-rd-18.X4953124.htm#1b-1e
2020/10/16,l882962,50 Murray St 101,Murray St,Strathcona,Hamilton,"$575,900",1 baths,1+1 beds,https://hamilton.listing.ca/50-murray-st-101.X4952622.htm#1b-1f
2020/10/16,l882958,515 North Service Rd 50,North Service Rd,Stoney Creek,Hamilton,"$684,900",2 baths,2 beds,https://hamilton.listing.ca/515-north-service-rd-50.X4952379.htm#1b-1g
2020/10/16,l882957,3 Ecker Lane,Ecker Lane,Binbrook,Hamilton,"$599,900",3 baths,1 beds,https://hamilton.listing.ca/3-ecker-lane.X4952215.htm#1b-1h
