ID,Address,Street,Neighbourhood,City,Price,Bathroom,Bedroom,Link,
2020/10/16,l885654,28 Rice Dr,Rice Dr,Schomberg,King,"$998,800",2 baths,3+2 beds,https://king.listing.ca/28-rice-dr.N4955697.htm#10w-1
2020/10/16,l885246,114 Moore Park Dr,Moore Park Dr,Schomberg,King,"$1,248,000",4 baths,3+1 beds,https://king.listing.ca/114-moore-park-dr.N4955005.htm#10w-2
2020/10/16,l885235,192 Carmichael Cres,Carmichael Cres,King City,King,"$3,388,000",4 baths,4 beds,https://king.listing.ca/192-carmichael-cres.N4954891.htm#10w-3
2020/10/16,l884756,54 Britnell Crt,Britnell Crt,King City,King,"$2,198,000",5 baths,4+1 beds,https://king.listing.ca/54-britnell-crt.N4953969.htm#10w-4
2020/10/16,l884723,15 Noblewood Dr,Noblewood Dr,Nobleton,King,"$1,298,000",2 baths,3+1 beds,https://king.listing.ca/15-noblewood-dr.N4954036.htm#10w-5
2020/10/16,l884027,92 Archibald Rd,Archibald Rd,Pottageville,King,"$1,499,000",4 baths,3+2 beds,https://king.listing.ca/92-archibald-rd.N4953816.htm#10w-6
2020/10/16,l883418,12 Piper Crt,Piper Crt,Nobleton,King,"$3,995,000",8 baths,4+1 beds,https://king.listing.ca/12-piper-crt.N4952741.htm#10w-7
2020/10/16,l883387,15 John St,John St,King City,King,"$3,599,999",6 baths,5 beds,https://king.listing.ca/15-john-st.N4952294.htm#10w-8
2020/10/16,l881908,14320 12th Concession,12th Concession,Rural King,King,"$1,899,900",2 baths,3+1 beds,https://king.listing.ca/14320-12th-concession.N4950438.htm#10w-9
2020/10/16,l880970,12 Bluff Tr,Bluff Tr,Nobleton,King,"$2,275,000",7 baths,4+2 beds,https://king.listing.ca/12-bluff-tr.N4949688.htm#10w-a
2020/10/16,l879036,14376 Jane St,Jane St,Rural King,King,"$1,288,000",2 baths,3+1 beds,https://king.listing.ca/14376-jane-st.N4947816.htm#10w-b
2020/10/16,l879011,4420 Highway 9,Highway 9,Rural King,King,"$1,129,000",1 baths,3 beds,https://king.listing.ca/4420-highway-9.N4947548.htm#10w-c
2020/10/16,l878615,96 Waterlily Tr,Waterlily Tr,Schomberg,King,"$819,900",3 baths,3 beds,https://king.listing.ca/96-waterlily-tr.N4947352.htm#10w-d
2020/10/16,l878486,13305 Jane St,Jane St,King City,King,"$1,489,000",3 baths,3+2 beds,https://king.listing.ca/13305-jane-st.N4947277.htm#10w-e
2020/10/16,l878192,18 Lilly Valley Cres,Lilly Valley Cres,King City,King,"$1,499,000",5 baths,4 beds,https://king.listing.ca/18-lilly-valley-cres.N4946928.htm#10w-f
2020/10/16,l878166,3 Country Club Dr,Country Club Dr,Rural King,King,"$1,999,000",4 baths,4 beds,https://king.listing.ca/3-country-club-dr.N4946610.htm#10w-g
2020/10/16,l878144,6166 King Rd,King Rd,Nobleton,King,"$999,000",1 baths,2 beds,https://king.listing.ca/6166-king-rd.N4946248.htm#10w-h
2020/10/16,l876627,65 John St,John St,King City,King,"$2,499,000",4 baths,4+1 beds,https://king.listing.ca/65-john-st.N4944561.htm#10w-i
2020/10/16,l876052,30 Nobleview Dr,Nobleview Dr,Nobleton,King,"$2,584,000",5 baths,5+1 beds,https://king.listing.ca/30-nobleview-dr.N4944291.htm#10w-j
2020/10/16,l876041,15730 Dufferin St,Dufferin St,Rural King,King,"$3,500,000",0 baths,0 beds,https://king.listing.ca/15730-dufferin-st.N4944154.htm#10w-k
2020/10/16,l876039,15660 Dufferin St,Dufferin St,Rural King,King,"$3,250,000",0 baths,0 beds,https://king.listing.ca/15660-dufferin-st.N4944146.htm#10w-l
2020/10/16,l875174,34 Alex Campbell Cres,Alex Campbell Cres,King City,King,"$1,349,000",4 baths,3 beds,https://king.listing.ca/34-alex-campbell-cres.N4942918.htm#10w-m
2020/10/16,l874573,24 Stan Roots St,Stan Roots St,King City,King,"$1,468,000",3 baths,4 beds,https://king.listing.ca/24-stan-roots-st.N4942244.htm#10w-n
2020/10/16,l873670,3495 17th Sdrd,17th Sdrd,Rural King,King,"$1,695,000",3 baths,3 beds,https://king.listing.ca/3495-17th-sdrd.N4940833.htm#10w-o
2020/10/16,l872519,27 Curran Crt,Curran Crt,King City,King,"$2,999,888",4 baths,3+1 beds,https://king.listing.ca/27-curran-crt.N4939839.htm#10w-p
2020/10/16,l871259,191 Kingscross Dr,Kingscross Dr,King City,King,"$2,788,000",4 baths,3+2 beds,https://king.listing.ca/191-kingscross-dr.N4938537.htm#10w-q
2020/10/16,l871246,5070 Highway 9,Highway 9,Rural King,King,"$3,650,000",2 baths,3 beds,https://king.listing.ca/5070-highway-9.N4938341.htm#10w-r
2020/10/16,l871229,42 Waterlily Tr,Waterlily Tr,Schomberg,King,"$1,199,999",4 baths,3+1 beds,https://king.listing.ca/42-waterlily-tr.N4938116.htm#10w-s
2020/10/16,l869718,13235 Caledon King Tline St,Caledon King Tline St,Nobleton,King,"$3,282,000",4 baths,5+1 beds,https://king.listing.ca/13235-caledon-king-tline-st.N4936782.htm#10w-t
2020/10/16,l869707,17 Macmurchy Ave,Macmurchy Ave,Nobleton,King,"$2,025,000",5 baths,4 beds,https://king.listing.ca/17-macmurchy-ave.N4936663.htm#10w-u
2020/10/16,l869679,126 Eden Vale Dr,Eden Vale Dr,King City,King,"$4,388,000",6 baths,4+1 beds,https://king.listing.ca/126-eden-vale-dr.N4936307.htm#10w-v
