ID,Address,Street,Neighbourhood,City,Price,Bathroom,Bedroom,Link,
2020/10/16,l882266,46 Havagal Cres,Havagal Cres,Unionville,Markham,"$1,418,800",3 baths,4 beds,https://markham.listing.ca/46-havagal-cres.N4951040.htm#a-1
2020/10/16,l885963,60 South Town Centre Blvd 602,South Town Centre Blvd,Unionville,Markham,"$560,000",1 baths,1+1 beds,https://markham.listing.ca/60-south-town-centre-blvd-602.N4956454.htm#a-2
2020/10/16,l885960,16 Elgin St B 160,Elgin St,Thornhill,Markham,"$579,000",2 baths,3 beds,https://markham.listing.ca/16-elgin-st-b-160.N4956385.htm#a-3
2020/10/16,l885959,1680 John St,John St,Bayview Fairway-Bayview Country Club Estates,Markham,"$698,900",2 baths,3+1 beds,https://markham.listing.ca/1680-john-st.N4956346.htm#a-4
2020/10/16,l885957,100 Anna Russell Way 207,Anna Russell Way,Unionville,Markham,"$438,000",2 baths,2 beds,https://markham.listing.ca/100-anna-russell-way-207.N4956262.htm#a-5
2020/10/16,l885952,25 Austin Dr 225,Austin Dr,Markville,Markham,"$759,000",2 baths,2+1 beds,https://markham.listing.ca/25-austin-dr-225.N4956175.htm#a-6
2020/10/16,l885940,46 Victor Herbert Way,Victor Herbert Way,Cathedraltown,Markham,"$888,000",4 baths,3 beds,https://markham.listing.ca/46-victor-herbert-way.N4955871.htm#a-7
2020/10/16,l885741,40 Beehive Lane,Beehive Lane,Wismer,Markham,"$799,000",4 baths,4 beds,https://markham.listing.ca/40-beehive-lane.N4955816.htm#a-8
2020/10/16,l885740,1006 Castlemore Ave,Castlemore Ave,Wismer,Markham,"$1,199,000",3 baths,4+1 beds,https://markham.listing.ca/1006-castlemore-ave.N4955800.htm#a-9
2020/10/16,l885738,6 Ridgevale Dr,Ridgevale Dr,Box Grove,Markham,"$3,599,900",4 baths,4 beds,https://markham.listing.ca/6-ridgevale-dr.N4955780.htm#a-a
2020/10/16,l885660,43 Anita Dr,Anita Dr,Village Green-South Unionville,Markham,"$988,800",3 baths,4 beds,https://markham.listing.ca/43-anita-dr.N4955753.htm#a-b
2020/10/16,l885652,80 Roy Grove Way,Roy Grove Way,Greensborough,Markham,"$799,000",3 baths,3+1 beds,https://markham.listing.ca/80-roy-grove-way.N4955686.htm#a-c
2020/10/16,l885650,67 Guildford Circ,Guildford Circ,Unionville,Markham,"$2,190,000",6 baths,5+3 beds,https://markham.listing.ca/67-guildford-circ.N4955676.htm#a-d
2020/10/16,l885284,113 Alexander Lawrie Ave,Alexander Lawrie Ave,Wismer,Markham,"$1,645,000",5 baths,4+2 beds,https://markham.listing.ca/113-alexander-lawrie-ave.N4955512.htm#a-e
2020/10/16,l885273,30 Squire Bakers Lane,Squire Bakers Lane,Sherwood-Amberglen,Markham,"$1,275,000",3 baths,4 beds,https://markham.listing.ca/30-squire-bakers-lane.N4955331.htm#a-f
2020/10/16,l885259,98 Squire Bakers Lane,Squire Bakers Lane,Sherwood-Amberglen,Markham,"$1,599,000",5 baths,4 beds,https://markham.listing.ca/98-squire-bakers-lane.N4955137.htm#a-g
2020/10/16,l885258,835 Bur Oak Ave,Bur Oak Ave,Wismer,Markham,"$849,000",3 baths,3 beds,https://markham.listing.ca/835-bur-oak-ave.N4955134.htm#a-h
2020/10/16,l885251,3 Delft Dr,Delft Dr,Victoria Square,Markham,"$1,180,000",4 baths,4+1 beds,https://markham.listing.ca/3-delft-dr.N4955091.htm#a-i
2020/10/16,l885247,13 Titan Tr,Titan Tr,Cedarwood,Markham,"$878,800",3 baths,3 beds,https://markham.listing.ca/13-titan-tr.N4955015.htm#a-j
2020/10/16,l885243,9 Fleance Dr,Fleance Dr,Royal Orchard,Markham,"$1,088,000",4 baths,3+2 beds,https://markham.listing.ca/9-fleance-dr.N4954951.htm#a-k
2020/10/16,l885241,24 Bronte Rd,Bronte Rd,Thornlea,Markham,"$1,749,900",4 baths,4+2 beds,https://markham.listing.ca/24-bronte-rd.N4954917.htm#a-l
2020/10/16,l885240,51 Wootten Way,Wootten Way,Sherwood-Amberglen,Markham,"$1,388,800",4 baths,4+3 beds,https://markham.listing.ca/51-wootten-way.N4954908.htm#a-m
2020/10/16,l885213,33 Everett St,Everett St,Wismer,Markham,"$1,168,000",5 baths,4+2 beds,https://markham.listing.ca/33-everett-st.N4954622.htm#a-n
2020/10/16,l884997,4 St Moritz Way 2,St Moritz Way,Unionville,Markham,"$679,000",3 baths,3 beds,https://markham.listing.ca/4-st-moritz-way-2.N4955369.htm#a-o
