ID,Address,Street,Neighbourhood,City,Price,Bathroom,Bedroom,Link,
2020/10/16,l879888,8 Nahani Way Lph08,Nahani Way,Hurontario,Mississauga,"$579,900",2 baths,2 beds,https://mississauga.listing.ca/8-nahani-way-lph08.W4948962.htm#r-1
2020/10/16,l843087,3083 Cawthra Rd 22,Cawthra Rd,Applewood,Mississauga,"$615,000",2 baths,2 beds,https://mississauga.listing.ca/3083-cawthra-rd-22.W4908563.htm#r-2
2020/10/16,l885997,25 Kingsbridge Garden Circ 2220,Kingsbridge Garden Circ,Hurontario,Mississauga,"$599,900",2 baths,2+1 beds,https://mississauga.listing.ca/25-kingsbridge-garden-circ-2220.W4956017.htm#r-3
2020/10/16,l885994,3170 Erin Mills Pkwy 132,Erin Mills Pkwy,Erin Mills,Mississauga,"$620,000",2 baths,2 beds,https://mississauga.listing.ca/3170-erin-mills-pkwy-132.W4955985.htm#r-4
2020/10/16,l885991,7080 Copenhagen Rd 42,Copenhagen Rd,Meadowvale,Mississauga,"$649,900",3 baths,3 beds,https://mississauga.listing.ca/7080-copenhagen-rd-42.W4955968.htm#r-5
2020/10/16,l885990,4065 Brickstone Mews Lph04,Brickstone Mews,City Centre,Mississauga,"$639,000",2 baths,2 beds,https://mississauga.listing.ca/4065-brickstone-mews-lph04.W4955961.htm#r-6
2020/10/16,l885989,33 Elm Dr 2906,Elm Dr,City Centre,Mississauga,"$529,900",1 baths,1+2 beds,https://mississauga.listing.ca/33-elm-dr-2906.W4955953.htm#r-7
2020/10/16,l885986,1155 Bough Beeches Blvd 709,Bough Beeches Blvd,Rathwood,Mississauga,"$589,900",2 baths,2 beds,https://mississauga.listing.ca/1155-bough-beeches-blvd-709.W4955944.htm#r-8
2020/10/16,l885755,1140 Willowbank Tr,Willowbank Tr,Rathwood,Mississauga,"$1,390,000",4 baths,4 beds,https://mississauga.listing.ca/1140-willowbank-tr.W4955840.htm#r-9
2020/10/16,l885746,1842 Stonepath Cres,Stonepath Cres,Applewood,Mississauga,"$1,199,988",4 baths,4 beds,https://mississauga.listing.ca/1842-stonepath-cres.W4955796.htm#r-a
2020/10/16,l885701,4145 Colfax Crt,Colfax Crt,Rathwood,Mississauga,"$1,099,000",4 baths,3 beds,https://mississauga.listing.ca/4145-colfax-crt.W4955751.htm#r-b
2020/10/16,l885694,3299 Candela Dr,Candela Dr,Mississauga Valleys,Mississauga,"$799,900",2 baths,3 beds,https://mississauga.listing.ca/3299-candela-dr.W4955665.htm#r-c
2020/10/16,l885674,1078 Sawyer Ave,Sawyer Ave,Lakeview,Mississauga,"$1,960,000",7 baths,8+3 beds,https://mississauga.listing.ca/1078-sawyer-ave.W4955552.htm#r-d
2020/10/16,l885668,3831 Mcdowell Dr,Mcdowell Dr,Churchill Meadows,Mississauga,"$1,469,999",4 baths,4+1 beds,https://mississauga.listing.ca/3831-mcdowell-dr.W4946897.htm#r-e
2020/10/16,l885609,3985 Grand Park Dr 1505,Grand Park Dr,City Centre,Mississauga,"$535,000",2 baths,2 beds,https://mississauga.listing.ca/3985-grand-park-dr-1505.W4955850.htm#r-f
2020/10/16,l885586,350 Webb Dr 1210,Webb Dr,City Centre,Mississauga,"$570,000",2 baths,2+1 beds,https://mississauga.listing.ca/350-webb-dr-1210.W4955770.htm#r-g
2020/10/16,l885577,3504 Hurontario St 3201,Hurontario St,City Centre,Mississauga,"$499,000",1 baths,1+1 beds,https://mississauga.listing.ca/3504-hurontario-st-3201.W4955700.htm#r-h
2020/10/16,l885574,4065 Brickstone Mews 808,Brickstone Mews,City Centre,Mississauga,"$569,000",1 baths,2 beds,https://mississauga.listing.ca/4065-brickstone-mews-808.W4955634.htm#r-i
2020/10/16,l885567,330 Rathburn Rd 2205,Rathburn Rd,City Centre,Mississauga,"$539,800",2 baths,2+1 beds,https://mississauga.listing.ca/330-rathburn-rd-2205.W4955602.htm#r-j
2020/10/16,l885436,898 Stonebridge Ave,Stonebridge Ave,East Credit,Mississauga,"$949,900",4 baths,4+1 beds,https://mississauga.listing.ca/898-stonebridge-ave.W4955491.htm#r-k
2020/10/16,l885436,898 Stonebridge Ave,Stonebridge Ave,East Credit,Mississauga,"$949,900",4 baths,4+1 beds,https://mississauga.listing.ca/898-stonebridge-ave.W4955491.htm#r-l
2020/10/16,l885432,7327 Glamorgan Way,Glamorgan Way,Meadowvale Village,Mississauga,"$1,750,000",5 baths,4 beds,https://mississauga.listing.ca/7327-glamorgan-way.W4955455.htm#r-m
2020/10/16,l885428,7139 Fayette Circ,Fayette Circ,Meadowvale,Mississauga,"$599,888",2 baths,4 beds,https://mississauga.listing.ca/7139-fayette-circ.W4955402.htm#r-n
2020/10/16,l885424,1964 Foxcroft Ave,Foxcroft Ave,Clarkson,Mississauga,"$950,000",2 baths,3+1 beds,https://mississauga.listing.ca/1964-foxcroft-ave.W4955386.htm#r-o
2020/10/16,l885402,41 Mississauga Rd,Mississauga Rd,Port Credit,Mississauga,"$1,219,999",4 baths,3+1 beds,https://mississauga.listing.ca/41-mississauga-rd.W4955253.htm#r-p
2020/10/16,l885395,3515 Queenston Dr,Queenston Dr,Erindale,Mississauga,"$699,000",2 baths,3 beds,https://mississauga.listing.ca/3515-queenston-dr.W4955210.htm#r-q
2020/10/16,l885392,1557 Brentano Blvd,Brentano Blvd,Lakeview,Mississauga,"$1,099,900",2 baths,4 beds,https://mississauga.listing.ca/1557-brentano-blvd.W4955185.htm#r-r
2020/10/16,l885386,7316 Corrine Cres,Corrine Cres,Meadowvale,Mississauga,"$919,900",3 baths,3 beds,https://mississauga.listing.ca/7316-corrine-cres.W4955153.htm#r-s
2020/10/16,l885383,695 Byngmount Ave,Byngmount Ave,Hurontario,Mississauga,"$1,149,000",1 baths,2+1 beds,https://mississauga.listing.ca/695-byngmount-ave.W4955132.htm#r-t
2020/10/16,l885382,2592 Barcella Cres,Barcella Cres,Sheridan,Mississauga,"$820,000",3 baths,4+1 beds,https://mississauga.listing.ca/2592-barcella-cres.W4955117.htm#r-u
2020/10/16,l885376,5591 Turney Dr,Turney Dr,Streetsville,Mississauga,"$999,800",2 baths,3+2 beds,https://mississauga.listing.ca/5591-turney-dr.W4955089.htm#r-v
2020/10/16,l885374,1427 Daventry Crt,Daventry Crt,Meadowvale Village,Mississauga,"$839,900",3 baths,3 beds,https://mississauga.listing.ca/1427-daventry-crt.W4955083.htm#r-w
2020/10/16,l885369,1812 Burnhamthorpe Rd 5,Burnhamthorpe Rd,Applewood,Mississauga,"$969,900",3 baths,3+1 beds,https://mississauga.listing.ca/1812-burnhamthorpe-rd-5.W4955039.htm#r-x
2020/10/16,l885365,1483 Crescent Rd,Crescent Rd,Lorne Park,Mississauga,"$1,829,000",4 baths,3+1 beds,https://mississauga.listing.ca/1483-crescent-rd.W4955024.htm#r-y
2020/10/16,l885363,7021 Gooderham Estates Blvd,Gooderham Estates Blvd,Meadowvale Village,Mississauga,"$1,450,000",4 baths,4+1 beds,https://mississauga.listing.ca/7021-gooderham-estates-blvd.W4954999.htm#r-z
2020/10/16,l885354,3428 Ingram Rd,Ingram Rd,Erin Mills,Mississauga,"$1,150,000",3 baths,4 beds,https://mississauga.listing.ca/3428-ingram-rd.W4954938.htm#r-10
2020/10/16,l885349,2170 Gordon Dr,Gordon Dr,Cooksville,Mississauga,"$5,699,850",9 baths,6 beds,https://mississauga.listing.ca/2170-gordon-dr.W4954884.htm#r-11
2020/10/16,l885348,1539 Watersedge Rd,Watersedge Rd,Clarkson,Mississauga,"$4,188,000",9 baths,5+1 beds,https://mississauga.listing.ca/1539-watersedge-rd.W4954880.htm#r-12
2020/10/16,l885347,2170 Gordon Dr,Gordon Dr,Cooksville,Mississauga,"$15,999,850",9 baths,6 beds,https://mississauga.listing.ca/2170-gordon-dr.W4954878.htm#r-13
2020/10/16,l885340,4127 Loyalist Dr,Loyalist Dr,Erin Mills,Mississauga,"$1,288,000",4 baths,4 beds,https://mississauga.listing.ca/4127-loyalist-dr.W4954843.htm#r-14
2020/10/16,l885338,5550 Whistler Cres,Whistler Cres,Hurontario,Mississauga,"$778,800",4 baths,3+1 beds,https://mississauga.listing.ca/5550-whistler-cres.W4954837.htm#r-15
2020/10/16,l885328,37 Pine Ave,Pine Ave,Port Credit,Mississauga,"$1,459,000",4 baths,4 beds,https://mississauga.listing.ca/37-pine-ave.W4954731.htm#r-16
2020/10/16,l885314,1130 Blueheron Blvd,Blueheron Blvd,East Credit,Mississauga,"$1,099,000",4 baths,4+2 beds,https://mississauga.listing.ca/1130-blueheron-blvd.W4954605.htm#r-17
