ID,Address,Street,Neighbourhood,City,Price,Bathroom,Bedroom,Link,
2020/10/16,l874016,491 Heddle Cres,Heddle Cres,Stonehaven-Wyndham,Newmarket,"$778,800",3 baths,3 beds,https://newmarket.listing.ca/491-heddle-cres.N4941735.htm#kb-1
2020/10/16,l885739,184 Art West Ave,Art West Ave,Woodland Hill,Newmarket,"$1,375,000",4 baths,4+2 beds,https://newmarket.listing.ca/184-art-west-ave.N4955781.htm#kb-2
2020/10/16,l885642,333 Hewitt Circ,Hewitt Circ,Summerhill Estates,Newmarket,"$899,800",4 baths,4 beds,https://newmarket.listing.ca/333-hewitt-circ.N4955569.htm#kb-3
2020/10/16,l885564,603 Gibney Cres,Gibney Cres,Summerhill Estates,Newmarket,"$599,900",2 baths,3 beds,https://newmarket.listing.ca/603-gibney-cres.N4955695.htm#kb-4
2020/10/16,l885261,367 Herridge Circ,Herridge Circ,Huron Heights-Leslie Valley,Newmarket,"$1,098,000",3 baths,4 beds,https://newmarket.listing.ca/367-herridge-circ.N4955188.htm#kb-5
2020/10/16,l885229,5 Heswall Lane,Heswall Lane,Glenway Estates,Newmarket,"$699,000",3 baths,3+1 beds,https://newmarket.listing.ca/5-heswall-lane.N4954814.htm#kb-6
2020/10/16,l885227,208 Denise Circ,Denise Circ,Summerhill Estates,Newmarket,"$749,000",3 baths,3 beds,https://newmarket.listing.ca/208-denise-circ.N4954802.htm#kb-7
2020/10/16,l885225,105 Harvest Hills Blvd,Harvest Hills Blvd,Woodland Hill,Newmarket,"$699,900",4 baths,3+1 beds,https://newmarket.listing.ca/105-harvest-hills-blvd.N4954763.htm#kb-8
2020/10/16,l885223,534 Menczel Cres,Menczel Cres,Summerhill Estates,Newmarket,"$899,900",4 baths,4 beds,https://newmarket.listing.ca/534-menczel-cres.N4954730.htm#kb-9
2020/10/16,l885218,193 Hampton Crt,Hampton Crt,Bristol-London,Newmarket,"$988,000",2 baths,4 beds,https://newmarket.listing.ca/193-hampton-crt.N4954646.htm#kb-a
2020/10/16,l884731,22 Brown Crt,Brown Crt,Glenway Estates,Newmarket,"$1,988,000",4 baths,4 beds,https://newmarket.listing.ca/22-brown-crt.N4954288.htm#kb-b
2020/10/16,l884655,829 Legge Crt,Legge Crt,Central Newmarket,Newmarket,"$1,299,000",5 baths,4 beds,https://newmarket.listing.ca/829-legge-crt.N4954458.htm#kb-c
2020/10/16,l884637,206 Forsyth Rd,Forsyth Rd,Bristol-London,Newmarket,"$998,880",3 baths,4 beds,https://newmarket.listing.ca/206-forsyth-rd.N4954372.htm#kb-d
2020/10/16,l884559,80 Matthew Boyd Cres,Matthew Boyd Cres,Woodland Hill,Newmarket,"$749,000",3 baths,3 beds,https://newmarket.listing.ca/80-matthew-boyd-cres.N4954385.htm#kb-e
2020/10/16,l884551,566 Queen St,Queen St,Central Newmarket,Newmarket,"$669,800",3 baths,3 beds,https://newmarket.listing.ca/566-queen-st.N4954269.htm#kb-f
2020/10/16,l884510,193 Emma Broadbent Crt,Emma Broadbent Crt,Woodland Hill,Newmarket,"$948,800",4 baths,3 beds,https://newmarket.listing.ca/193-emma-broadbent-crt.N4954309.htm#kb-g
