ID,Address,Street,Neighbourhood,City,Price,Bathroom,Bedroom,Link,
2020/10/16,l886009,2614 Dashwood Dr 5,Dashwood Dr,West Oak Trails,Oakville,"$599,900",3 baths,2 beds,https://oakville.listing.ca/2614-dashwood-dr-5.W4956167.htm#tc-1
2020/10/16,l886007,11 Bronte Rd 814,Bronte Rd,Bronte West,Oakville,"$2,499,000",3 baths,2 beds,https://oakville.listing.ca/11-bronte-rd-814.W4956137.htm#tc-2
2020/10/16,l885748,228 Balsam Dr,Balsam Dr,Old Oakville,Oakville,"$3,395,000",6 baths,4+1 beds,https://oakville.listing.ca/228-balsam-dr.W4955808.htm#tc-3
2020/10/16,l885699,1296 Creekside Dr,Creekside Dr,Iroquois Ridge North,Oakville,"$1,400,000",4 baths,4 beds,https://oakville.listing.ca/1296-creekside-dr.W4955714.htm#tc-4
2020/10/16,l885685,525 Trudale Crt,Trudale Crt,Bronte East,Oakville,"$2,298,888",6 baths,4+1 beds,https://oakville.listing.ca/525-trudale-crt.W4955607.htm#tc-5
2020/10/16,l885678,90 Lakeshore Rd,Lakeshore Rd,Old Oakville,Oakville,"$1,299,900",4 baths,2 beds,https://oakville.listing.ca/90-lakeshore-rd.W4955583.htm#tc-6
2020/10/16,l885576,2480 Prince Michael Dr 510,Prince Michael Dr,Iroquois Ridge North,Oakville,"$789,990",2 baths,2 beds,https://oakville.listing.ca/2480-prince-michael-dr-510.W4955681.htm#tc-7
2020/10/16,l885440,3217 Preserve Dr,Preserve Dr,Rural Oakville,Oakville,"$1,849,990",6 baths,4+1 beds,https://oakville.listing.ca/3217-preserve-dr.W4955515.htm#tc-8
2020/10/16,l885431,1277 Hillview Cres,Hillview Cres,Iroquois Ridge South,Oakville,"$1,074,900",0 baths,0 beds,https://oakville.listing.ca/1277-hillview-cres.W4955441.htm#tc-9
2020/10/16,l885429,1482 Briarwood Cres,Briarwood Cres,Eastlake,Oakville,"$2,679,000",5 baths,4 beds,https://oakville.listing.ca/1482-briarwood-cres.W4955426.htm#tc-a
