ID,Address,Street,Neighbourhood,City,Price,Bathroom,Bedroom,Link
2020-10-17,l878980,195 Ritson Rd,Ritson Rd,Central,Oshawa,$549900,3 baths,4+1 beds,https://oshawa.listing.ca/195-ritson-rd.E4947735.htm#pp-1
2020-10-17,l887215,1722 Badgley Dr,Badgley Dr,Taunton,Oshawa,$939000,4 baths,4 beds,https://oshawa.listing.ca/1722-badgley-dr.E4957551.htm#pp-2
2020-10-17,l887213,1279 Northmount St,Northmount St,Centennial,Oshawa,$529900,2 baths,3+1 beds,https://oshawa.listing.ca/1279-northmount-st.E4957527.htm#pp-3
2020-10-17,l887114,285 Oshawa Blvd,Oshawa Blvd,Central,Oshawa,$639900,3 baths,4 beds,https://oshawa.listing.ca/285-oshawa-blvd.E4957486.htm#pp-4
2020-10-17,l887110,1081 Attersley Dr,Attersley Dr,Pinecrest,Oshawa,$499900,2 baths,3 beds,https://oshawa.listing.ca/1081-attersley-dr.E4957415.htm#pp-5
2020-10-17,l887107,1772 Finkle Dr,Finkle Dr,Taunton,Oshawa,$859900,4 baths,4 beds,https://oshawa.listing.ca/1772-finkle-dr.E4957365.htm#pp-6
2020-10-17,l887065,55 William St 306,William St,O'Neill,Oshawa,$359000,2 baths,2 beds,https://oshawa.listing.ca/55-william-st-306.E4957530.htm#pp-7
2020-10-17,l886727,552 Drew St,Drew St,Central,Oshawa,$899999,4 baths,3+3 beds,https://oshawa.listing.ca/552-drew-st.E4957088.htm#pp-8
2020-10-17,l886726,221 Beatty Ave,Beatty Ave,Central,Oshawa,$435000,2 baths,3 beds,https://oshawa.listing.ca/221-beatty-ave.E4957077.htm#pp-9
2020-10-17,l886718,1165 Snowberry Crt,Snowberry Crt,Pinecrest,Oshawa,$699900,2 baths,3 beds,https://oshawa.listing.ca/1165-snowberry-crt.E4956989.htm#pp-a
2020-10-17,l886525,1900 Simcoe St 619,Simcoe St,Samac,Oshawa,$197000,1 baths,0 beds,https://oshawa.listing.ca/1900-simcoe-st-619.E4957017.htm#pp-b
2020-10-17,l886123,1556 Pennel Dr,Pennel Dr,Taunton,Oshawa,$895000,4 baths,4+1 beds,https://oshawa.listing.ca/1556-pennel-dr.E4956383.htm#pp-c
2020-10-17,l886118,1666 Irvine Scott St,Irvine Scott St,Taunton,Oshawa,$1699000,6 baths,4+1 beds,https://oshawa.listing.ca/1666-irvine-scott-st.E4956300.htm#pp-d
2020-10-17,l886115,195 Albert St,Albert St,Central,Oshawa,$599900,5 baths,4 beds,https://oshawa.listing.ca/195-albert-st.E4956252.htm#pp-e
2020-10-17,l886111,552 Lakeview Ave,Lakeview Ave,Lakeview,Oshawa,$530000,2 baths,3 beds,https://oshawa.listing.ca/552-lakeview-ave.E4956185.htm#pp-f
2020-10-17,l886106,226 Lorindale Dr,Lorindale Dr,Donevan,Oshawa,$574900,2 baths,3 beds,https://oshawa.listing.ca/226-lorindale-dr.E4956127.htm#pp-g
2020-10-17,l886105,743 Simcoe St,Simcoe St,Centennial,Oshawa,$1325000,3 baths,4 beds,https://oshawa.listing.ca/743-simcoe-st.E4956123.htm#pp-h
2020-10-17,l886103,2384 New Providence St,New Providence St,Windfields,Oshawa,$899988,4 baths,4 beds,https://oshawa.listing.ca/2384-new-providence-st.E4956091.htm#pp-i
2020-10-17,l886100,1310 Charter Cres,Charter Cres,Lakeview,Oshawa,$495000,3 baths,3+1 beds,https://oshawa.listing.ca/1310-charter-cres.E4956055.htm#pp-j
2020-10-17,l886096,263 Court St,Court St,Central,Oshawa,$439999,2 baths,1+2 beds,https://oshawa.listing.ca/263-court-st.E4956033.htm#pp-k
2020-10-17,l886087,245 Quebec St,Quebec St,Central,Oshawa,$439000,1 baths,2 beds,https://oshawa.listing.ca/245-quebec-st.E4955909.htm#pp-l
2020-10-17,l886083,81 Hall St,Hall St,Central,Oshawa,$475000,1 baths,3 beds,https://oshawa.listing.ca/81-hall-st.E4955891.htm#pp-m
2020-10-17,l885924,2500 Hill Rise Crt 27,Hill Rise Crt,Windfields,Oshawa,$439999,2 baths,2 beds,https://oshawa.listing.ca/2500-hill-rise-crt-27.E4956205.htm#pp-n
2020-10-17,l885731,590 Lakeview Ave,Lakeview Ave,Lakeview,Oshawa,$549900,3 baths,3 beds,https://oshawa.listing.ca/590-lakeview-ave.E4955786.htm#pp-o
2020-10-17,l885729,70 Burk St,Burk St,Vanier,Oshawa,$399900,2 baths,2 beds,https://oshawa.listing.ca/70-burk-st.E4955783.htm#pp-p
2020-10-17,l885622,960 Barbados St,Barbados St,Northglen,Oshawa,$899900,3 baths,2+2 beds,https://oshawa.listing.ca/960-barbados-st.E4955557.htm#pp-q
2020-10-17,l885207,1017 Glenbourne Dr,Glenbourne Dr,Pinecrest,Oshawa,$699000,3 baths,3 beds,https://oshawa.listing.ca/1017-glenbourne-dr.E4955513.htm#pp-r
2020-10-17,l885186,651 Grandview Dr,Grandview Dr,Donevan,Oshawa,$579800,2 baths,3 beds,https://oshawa.listing.ca/651-grandview-dr.E4955096.htm#pp-s
2020-10-17,l885178,754 Shelley Ave,Shelley Ave,Donevan,Oshawa,$609900,2 baths,2 beds,https://oshawa.listing.ca/754-shelley-ave.E4955001.htm#pp-t
2020-10-17,l885172,832 Donegal Ave,Donegal Ave,Vanier,Oshawa,$597000,3 baths,3+2 beds,https://oshawa.listing.ca/832-donegal-ave.E4954956.htm#pp-u
2020-10-17,l885165,139 Lasalle Ave,Lasalle Ave,Central,Oshawa,$499000,2 baths,2+2 beds,https://oshawa.listing.ca/139-lasalle-ave.E4954905.htm#pp-v
2020-10-17,l885160,427 Century St,Century St,Eastdale,Oshawa,$615000,3 baths,3+1 beds,https://oshawa.listing.ca/427-century-st.E4954859.htm#pp-w
2020-10-17,l885159,183 Gibbons St,Gibbons St,McLaughlin,Oshawa,$529900,2 baths,3 beds,https://oshawa.listing.ca/183-gibbons-st.E4954839.htm#pp-x
2020-10-17,l885153,976 Mountview Crt,Mountview Crt,Pinecrest,Oshawa,$799900,3 baths,4 beds,https://oshawa.listing.ca/976-mountview-crt.E4954738.htm#pp-y
2020-10-17,l885150,2528 Secreto Dr,Secreto Dr,Windfields,Oshawa,$829900,3 baths,3 beds,https://oshawa.listing.ca/2528-secreto-dr.E4954708.htm#pp-z
2020-10-17,l885145,1269 Eldorado Ave,Eldorado Ave,Eastdale,Oshawa,$499900,2 baths,3 beds,https://oshawa.listing.ca/1269-eldorado-ave.E4954675.htm#pp-10
2020-10-17,l885138,1352 Trowbridge Dr,Trowbridge Dr,Centennial,Oshawa,$549000,2 baths,2+1 beds,https://oshawa.listing.ca/1352-trowbridge-dr.E4954600.htm#pp-11
2020-10-17,l885137,169 Londonderry St,Londonderry St,Vanier,Oshawa,$449000,2 baths,3 beds,https://oshawa.listing.ca/169-londonderry-st.E4954594.htm#pp-12
2020-10-17,l885134,908 Kicking Horse Path 53,Kicking Horse Path,McLaughlin,Oshawa,$639900,4 baths,3+1 beds,https://oshawa.listing.ca/908-kicking-horse-path-53.E4954570.htm#pp-13
2020-10-17,l884750,375 Meadow St,Meadow St,Kedron,Oshawa,$749900,2 baths,3 beds,https://oshawa.listing.ca/375-meadow-st.E4954558.htm#pp-14
2020-10-17,l884748,915 Regent Dr,Regent Dr,Eastdale,Oshawa,$869900,4 baths,3+1 beds,https://oshawa.listing.ca/915-regent-dr.E4954105.htm#pp-15
2020-10-17,l884747,38 Farewell St,Farewell St,Donevan,Oshawa,$499900,2 baths,4 beds,https://oshawa.listing.ca/38-farewell-st.E4954483.htm#pp-16
2020-10-17,l884746,953 Sandcliff Dr,Sandcliff Dr,Pinecrest,Oshawa,$849900,4 baths,5 beds,https://oshawa.listing.ca/953-sandcliff-dr.E4954556.htm#pp-17
2020-10-17,l884735,1041 Beaver Valley Cres,Beaver Valley Cres,Northglen,Oshawa,$699900,3 baths,4 beds,https://oshawa.listing.ca/1041-beaver-valley-cres.E4954068.htm#pp-18
2020-10-17,l884622,1183 Trowbridge Dr,Trowbridge Dr,Centennial,Oshawa,$579900,2 baths,3 beds,https://oshawa.listing.ca/1183-trowbridge-dr.E4954017.htm#pp-19
2020-10-17,l884570,153 Barkley Cres,Barkley Cres,Vanier,Oshawa,$499999,2 baths,3 beds,https://oshawa.listing.ca/153-barkley-cres.E4954031.htm#pp-1a
2020-10-17,l884519,141 Ritson Rd,Ritson Rd,Central,Oshawa,$448999,2 baths,2+1 beds,https://oshawa.listing.ca/141-ritson-rd.E4954443.htm#pp-1b
