ID,Address,Street,Neighbourhood,City,Price,Bathroom,Bedroom,Link
2020-10-17,l862912,53 Birch Ave,Birch Ave,South Richvale,Richmond Hill,$3699000,6 baths,4+1 beds,https://richmond-hill.listing.ca/53-birch-ave.N4928115.htm#1-1
2020-10-17,l861233,310 Red Maple Rd 1013,Red Maple Rd,Langstaff,Richmond Hill,$665000,2 baths,2 beds,https://richmond-hill.listing.ca/310-red-maple-rd-1013.N4926623.htm#1-2
2020-10-17,l887222,1 Rustic Ave,Rustic Ave,Rouge Woods,Richmond Hill,$1398000,4 baths,4 beds,https://richmond-hill.listing.ca/1-rustic-ave.N4957539.htm#1-3
2020-10-17,l887221,37 Alexandra Wood,Alexandra Wood,Bayview Hill,Richmond Hill,$2890000,5 baths,4+2 beds,https://richmond-hill.listing.ca/37-alexandra-wood.N4957535.htm#1-4
2020-10-17,l887070,372 Highway 7 Rd 820,Highway 7 Rd,Doncrest,Richmond Hill,$468000,1 baths,1 beds,https://richmond-hill.listing.ca/372-highway-7-rd-820.N4957383.htm#1-5
2020-10-17,l887068,185 Oneida Cres 708,Oneida Cres,Langstaff,Richmond Hill,$640000,2 baths,2 beds,https://richmond-hill.listing.ca/185-oneida-cres-708.N4957379.htm#1-6
2020-10-17,l886814,126 Kersey Cres,Kersey Cres,North Richvale,Richmond Hill,$799000,3 baths,3+1 beds,https://richmond-hill.listing.ca/126-kersey-cres.N4957289.htm#1-7
2020-10-17,l886803,24 Lowther Ave,Lowther Ave,Oak Ridges,Richmond Hill,$899900,4 baths,3+1 beds,https://richmond-hill.listing.ca/24-lowther-ave.N4957164.htm#1-8
2020-10-17,l886802,154 Berwick Cres,Berwick Cres,Observatory,Richmond Hill,$1688800,5 baths,5+1 beds,https://richmond-hill.listing.ca/154-berwick-cres.N4957156.htm#1-9
2020-10-17,l886758,242 Elmwood Ave,Elmwood Ave,Harding,Richmond Hill,$899000,3 baths,4+1 beds,https://richmond-hill.listing.ca/242-elmwood-ave.N4956673.htm#1-a
2020-10-17,l886559,175 Cedar Ave 412,Cedar Ave,Harding,Richmond Hill,$579900,2 baths,2+1 beds,https://richmond-hill.listing.ca/175-cedar-ave-412.N4957323.htm#1-b
2020-10-17,l886553,9600 Yonge St 516,Yonge St,North Richvale,Richmond Hill,$539888,1 baths,1+1 beds,https://richmond-hill.listing.ca/9600-yonge-st-516.N4957186.htm#1-c
2020-10-17,l886543,3 Ellesmere St 105,Ellesmere St,Langstaff,Richmond Hill,$415000,1 baths,1 beds,https://richmond-hill.listing.ca/3-ellesmere-st-105.N4956935.htm#1-d
2020-10-17,l886540,9618 Yonge St 1111,Yonge St,North Richvale,Richmond Hill,$499000,1 baths,1+1 beds,https://richmond-hill.listing.ca/9618-yonge-st-1111.N4956860.htm#1-e
2020-10-17,l886537,50 Baif Blvd 401,Baif Blvd,North Richvale,Richmond Hill,$639900,2 baths,2 beds,https://richmond-hill.listing.ca/50-baif-blvd-401.N4956704.htm#1-f
2020-10-17,l886536,9 Northern Heights Dr 202,Northern Heights Dr,Langstaff,Richmond Hill,$489900,1 baths,1+1 beds,https://richmond-hill.listing.ca/9-northern-heights-dr-202.N4956692.htm#1-g
2020-10-17,l886532,39 Oneida Cres 407,Oneida Cres,Langstaff,Richmond Hill,$439000,1 baths,1 beds,https://richmond-hill.listing.ca/39-oneida-cres-407.N4956630.htm#1-h
2020-10-17,l886182,425 Mill St,Mill St,Mill Pond,Richmond Hill,$1498800,4 baths,4+2 beds,https://richmond-hill.listing.ca/425-mill-st.N4956445.htm#1-i
2020-10-17,l886177,45 Nightstar Dr,Nightstar Dr,Observatory,Richmond Hill,$1209900,4 baths,3+1 beds,https://richmond-hill.listing.ca/45-nightstar-dr.N4956409.htm#1-j
2020-10-17,l886176,15 Debonair St,Debonair St,Westbrook,Richmond Hill,$799900,4 baths,3+1 beds,https://richmond-hill.listing.ca/15-debonair-st.N4956399.htm#1-k
2020-10-17,l886154,47 Vandervoort Dr,Vandervoort Dr,Jefferson,Richmond Hill,$1499900,5 baths,4+1 beds,https://richmond-hill.listing.ca/47-vandervoort-dr.N4956139.htm#1-l
2020-10-17,l886139,15 Brackenwood Ave,Brackenwood Ave,Westbrook,Richmond Hill,$1368000,4 baths,4+1 beds,https://richmond-hill.listing.ca/15-brackenwood-ave.N4955921.htm#1-m
2020-10-17,l885973,9199 Yonge St 1106Se,Yonge St,Langstaff,Richmond Hill,$734900,2 baths,2 beds,https://richmond-hill.listing.ca/9199-yonge-st-1106se.N4956575.htm#1-n
2020-10-17,l885965,9471 Yonge St 1001,Yonge St,Observatory,Richmond Hill,$537877,1 baths,1+1 beds,https://richmond-hill.listing.ca/9471-yonge-st-1001.N4956480.htm#1-o
2020-10-17,l885944,73 King William Cres 607,King William Cres,Langstaff,Richmond Hill,$478800,1 baths,1 beds,https://richmond-hill.listing.ca/73-king-william-cres-607.N4955947.htm#1-p
