ID,Address,Street,Neighbourhood,City,Price,Bathroom,Bedroom,Link
2020-10-17,l885163,72 Westbourne Ave,Westbourne Ave,Clairlea-Birchmount,Toronto,$1499000,5 baths,4+1 beds,https://toronto.listing.ca/72-westbourne-ave.E4954896.htm#15-1
2020-10-17,l883936,9 Boardwalk Dr 202,Boardwalk Dr,The Beaches,Toronto,$649000,1 baths,1 beds,https://toronto.listing.ca/9-boardwalk-dr-202.E4953859.htm#15-2
2020-10-17,l878805,11 Lee Centre Dr 809,Lee Centre Dr,Woburn,Toronto,$448888,1 baths,1+1 beds,https://toronto.listing.ca/11-lee-centre-dr-809.E4948060.htm#15-3
2020-10-17,l877732,736 Bay St 811,Bay St,Bay Street Corridor,Toronto,$624900,1 baths,1 beds,https://toronto.listing.ca/736-bay-st-811.C4946436.htm#15-4
2020-10-17,l870587,18 Willowlea Dr,Willowlea Dr,Highland Creek,Toronto,$899900,0 baths,0 beds,https://toronto.listing.ca/18-willowlea-dr.E4937813.htm#15-5
2020-10-17,l870582,14 Willowlea Dr,Willowlea Dr,Highland Creek,Toronto,$899900,0 baths,0 beds,https://toronto.listing.ca/14-willowlea-dr.E4937771.htm#15-6
2020-10-17,l870572,12 Willowlea Dr,Willowlea Dr,Highland Creek,Toronto,$899900,0 baths,0 beds,https://toronto.listing.ca/12-willowlea-dr.E4937712.htm#15-7
2020-10-17,l868715,3650 Kingston Road Rd 708,Kingston Road Rd,Scarborough Village,Toronto,$439999,2 baths,2 beds,https://toronto.listing.ca/3650-kingston-road-rd-708.E4935804.htm#15-8
2020-10-17,l866249,39 Sergio Marchi St,Sergio Marchi St,Downsview-Roding-CFB,Toronto,$769900,4 baths,3 beds,https://toronto.listing.ca/39-sergio-marchi-st.W4932186.htm#15-9
2020-10-17,l866128,227 Scarboro Cres,Scarboro Cres,Cliffcrest,Toronto,$1849900,5 baths,4+1 beds,https://toronto.listing.ca/227-scarboro-cres.E4932251.htm#15-a
2020-10-17,l863929,248 Kennedy Rd,Kennedy Rd,Kennedy Park,Toronto,$1330000,4 baths,3+3 beds,https://toronto.listing.ca/248-kennedy-rd.E4929445.htm#15-b
2020-10-17,l860970,3091 Dufferin St 530,Dufferin St,Yorkdale-Glen Park,Toronto,$818000,2 baths,3+1 beds,https://toronto.listing.ca/3091-dufferin-st-530.W4925937.htm#15-c
2020-10-17,l850566,955 Bay St 1508,Bay St,Bay Street Corridor,Toronto,$649900,1 baths,1 beds,https://toronto.listing.ca/955-bay-st-1508.C4913181.htm#15-d
2020-10-17,l826282,225 Sackville St 2011,Sackville St,Regent Park,Toronto,$459900,1 baths,0 beds,https://toronto.listing.ca/225-sackville-st-2011.C4888499.htm#15-e
2020-10-17,l698942,770 Morrish Rd,Morrish Rd,Highland Creek,Toronto,$1299000,4 baths,4+2 beds,https://toronto.listing.ca/770-morrish-rd.E4733813.htm#15-f
2020-10-17,l887228,92 Cabana Dr,Cabana Dr,Humber Summit,Toronto,$798000,2 baths,3 beds,https://toronto.listing.ca/92-cabana-dr.W4957567.htm#15-g
2020-10-17,l887219,113 Dorset Rd,Dorset Rd,Cliffcrest,Toronto,$849900,3 baths,3+2 beds,https://toronto.listing.ca/113-dorset-rd.E4957572.htm#15-h
2020-10-17,l887218,10 Compton Dr,Compton Dr,Wexford-Maryvale,Toronto,$927000,3 baths,3+2 beds,https://toronto.listing.ca/10-compton-dr.E4957564.htm#15-i
2020-10-17,l887217,131 Salome Dr,Salome Dr,Agincourt South-Malvern West,Toronto,$999888,3 baths,4 beds,https://toronto.listing.ca/131-salome-dr.E4957557.htm#15-j
