ID,Address,Street,Neighbourhood,City,Price,Bathroom,Bedroom,Link
2020-10-17,l887140,132 Foxfield Cres,Foxfield Cres,Patterson,Vaughan,$895000,3 baths,3 beds,https://vaughan.listing.ca/132-foxfield-cres.N4957480.htm#g7-1
2020-10-17,l887134,17 Hesperus Rd,Hesperus Rd,Patterson,Vaughan,$1500000,5 baths,4 beds,https://vaughan.listing.ca/17-hesperus-rd.N4957426.htm#g7-2
2020-10-17,l887133,15 Barrhill Rd,Barrhill Rd,Maple,Vaughan,$1288800,4 baths,4 beds,https://vaughan.listing.ca/15-barrhill-rd.N4957422.htm#g7-3
2020-10-17,l887126,74 Red Tree Dr,Red Tree Dr,Kleinburg,Vaughan,$1569900,4 baths,4 beds,https://vaughan.listing.ca/74-red-tree-dr.N4957384.htm#g7-4
2020-10-17,l887077,5 Buttermill Ave 6106,Buttermill Ave,Concord,Vaughan,$565000,2 baths,2 beds,https://vaughan.listing.ca/5-buttermill-ave-6106.N4957459.htm#g7-5
2020-10-17,l887076,8 Maison Parc Crt 502Cha,Maison Parc Crt,Lakeview Estates,Vaughan,$529900,1 baths,1 beds,https://vaughan.listing.ca/8-maison-parc-crt-502cha.N4957453.htm#g7-6
2020-10-17,l887073,950 Portage Pkwy 2905,Portage Pkwy,Vaughan Corporate Centre,Vaughan,$589000,2 baths,2 beds,https://vaughan.listing.ca/950-portage-pkwy-2905.N4957401.htm#g7-7
2020-10-17,l887072,9560 Islington Ave 228,Islington Ave,Sonoma Heights,Vaughan,$788888,3 baths,2 beds,https://vaughan.listing.ca/9560-islington-ave-228.N4957399.htm#g7-8
2020-10-17,l886810,126 Cherry Hills Rd,Cherry Hills Rd,Glen Shields,Vaughan,$1279000,3 baths,4+2 beds,https://vaughan.listing.ca/126-cherry-hills-rd.N4957252.htm#g7-9
2020-10-17,l886805,175 Coronation St,Coronation St,West Woodbridge,Vaughan,$1349000,4 baths,4+3 beds,https://vaughan.listing.ca/175-coronation-st.N4957206.htm#g7-a
2020-10-17,l886794,19 Powseland Cres,Powseland Cres,West Woodbridge,Vaughan,$950000,3 baths,3 beds,https://vaughan.listing.ca/19-powseland-cres.N4957074.htm#g7-b
2020-10-17,l886789,71 Vaughan Blvd,Vaughan Blvd,Beverley Glen,Vaughan,$2758000,5 baths,4+1 beds,https://vaughan.listing.ca/71-vaughan-blvd.N4957033.htm#g7-c
2020-10-17,l886788,19 Cavalier Cres,Cavalier Cres,Uplands,Vaughan,$2399000,4 baths,3+1 beds,https://vaughan.listing.ca/19-cavalier-cres.N4957025.htm#g7-d
2020-10-17,l886783,102 Hammerstone Cres,Hammerstone Cres,Beverley Glen,Vaughan,$1228800,4 baths,3 beds,https://vaughan.listing.ca/102-hammerstone-cres.N4956983.htm#g7-e
2020-10-17,l886780,36 Honey Locust Crt,Honey Locust Crt,Rural Vaughan,Vaughan,$3400000,5 baths,4+1 beds,https://vaughan.listing.ca/36-honey-locust-crt.N4956942.htm#g7-f
2020-10-17,l886778,19 Yellowood Circ,Yellowood Circ,Patterson,Vaughan,$929000,4 baths,3+1 beds,https://vaughan.listing.ca/19-yellowood-circ.N4956917.htm#g7-g
2020-10-17,l886771,2 Orleans Circ,Orleans Circ,Vellore Village,Vaughan,$2059000,5 baths,4 beds,https://vaughan.listing.ca/2-orleans-circ.N4956799.htm#g7-h
2020-10-17,l886767,62 Brownridge Dr,Brownridge Dr,Brownridge,Vaughan,$1049000,4 baths,4 beds,https://vaughan.listing.ca/62-brownridge-dr.N4956746.htm#g7-i
2020-10-17,l886757,386 Royalpark Way,Royalpark Way,Elder Mills,Vaughan,$1299900,4 baths,4+1 beds,https://vaughan.listing.ca/386-royalpark-way.N4956668.htm#g7-j
2020-10-17,l886749,30 Shamrock Cres,Shamrock Cres,Islington Woods,Vaughan,$1799900,5 baths,4 beds,https://vaughan.listing.ca/30-shamrock-cres.N4956535.htm#g7-k
2020-10-17,l886743,150 Maria Antonia Rd,Maria Antonia Rd,Vellore Village,Vaughan,$1149000,5 baths,4+3 beds,https://vaughan.listing.ca/150-maria-antonia-rd.N4956469.htm#g7-l
2020-10-17,l886554,343 Clark Ave 905,Clark Ave,Crestwood-Springfarm-Yorkhill,Vaughan,$779900,2 baths,2+1 beds,https://vaughan.listing.ca/343-clark-ave-905.N4957235.htm#g7-m
2020-10-17,l886183,1331 Major Mackenzie Dr 112,Major Mackenzie Dr,Patterson,Vaughan,$1088888,3 baths,3 beds,https://vaughan.listing.ca/1331-major-mackenzie-dr-112.N4956448.htm#g7-n
2020-10-17,l886178,202 Riverview Ave,Riverview Ave,East Woodbridge,Vaughan,$1438000,4 baths,4+1 beds,https://vaughan.listing.ca/202-riverview-ave.N4956418.htm#g7-o
2020-10-17,l886164,66 Valle Ave,Valle Ave,Vellore Village,Vaughan,$1600000,3 baths,4 beds,https://vaughan.listing.ca/66-valle-ave.N4956273.htm#g7-p
2020-10-17,l886159,68 Sail Cres,Sail Cres,Vellore Village,Vaughan,$1448000,5 baths,5+3 beds,https://vaughan.listing.ca/68-sail-cres.N4956206.htm#g7-q
2020-10-17,l886155,37 Windward Cres,Windward Cres,Maple,Vaughan,$865000,4 baths,3 beds,https://vaughan.listing.ca/37-windward-cres.N4956154.htm#g7-r
2020-10-17,l886153,132 Bourbon St,Bourbon St,East Woodbridge,Vaughan,$1388000,3 baths,4 beds,https://vaughan.listing.ca/132-bourbon-st.N4956130.htm#g7-s
2020-10-17,l886152,30 Coast Ave,Coast Ave,Vellore Village,Vaughan,$999900,4 baths,4+1 beds,https://vaughan.listing.ca/30-coast-ave.N4956119.htm#g7-t
2020-10-17,l886126,42 Villa Antica Dr,Villa Antica Dr,Sonoma Heights,Vaughan,$909880,3 baths,3 beds,https://vaughan.listing.ca/42-villa-antica-dr.N4954621.htm#g7-u
2020-10-17,l885970,8171 Kipling Ave 1,Kipling Ave,West Woodbridge,Vaughan,$599900,1 baths,1+1 beds,https://vaughan.listing.ca/8171-kipling-ave-1.N4956530.htm#g7-v
2020-10-17,l885962,7250 Yonge St 1507,Yonge St,Crestwood-Springfarm-Yorkhill,Vaughan,$689999,2 baths,2+1 beds,https://vaughan.listing.ca/7250-yonge-st-1507.N4956430.htm#g7-w
2020-10-17,l885956,75 North Park Rd 1008,North Park Rd,Beverley Glen,Vaughan,$659000,2 baths,2 beds,https://vaughan.listing.ca/75-north-park-rd-1008.N4956254.htm#g7-x
2020-10-17,l885953,7440 Bathurst St 1214,Bathurst St,Brownridge,Vaughan,$708000,2 baths,2+1 beds,https://vaughan.listing.ca/7440-bathurst-st-1214.N4956179.htm#g7-y
2020-10-17,l885951,7250 Yonge St 305,Yonge St,Crestwood-Springfarm-Yorkhill,Vaughan,$598000,2 baths,2+1 beds,https://vaughan.listing.ca/7250-yonge-st-305.N4956165.htm#g7-z
2020-10-17,l885942,898 Portage Pkwy 3510,Portage Pkwy,Vaughan Corporate Centre,Vaughan,$659900,2 baths,2 beds,https://vaughan.listing.ca/898-portage-pkwy-3510.N4955901.htm#g7-10
2020-10-17,l885938,7 North Park Rd 1802,North Park Rd,Beverley Glen,Vaughan,$449800,1 baths,1 beds,https://vaughan.listing.ca/7-north-park-rd-1802.N4955854.htm#g7-11
2020-10-17,l885647,728 Woodland Acres Cres,Woodland Acres Cres,Rural Vaughan,Vaughan,$7500000,9 baths,5+1 beds,https://vaughan.listing.ca/728-woodland-acres-cres.N4955650.htm#g7-12
2020-10-17,l885646,15 Donisi Ave,Donisi Ave,Brownridge,Vaughan,$1590000,4 baths,4+2 beds,https://vaughan.listing.ca/15-donisi-ave.N4955645.htm#g7-13
2020-10-17,l885643,24 Angelico Ave,Angelico Ave,Vellore Village,Vaughan,$1098000,4 baths,3+1 beds,https://vaughan.listing.ca/24-angelico-ave.N4955573.htm#g7-14
2020-10-17,l885283,23 Gentile Circ,Gentile Circ,Elder Mills,Vaughan,$899000,4 baths,3 beds,https://vaughan.listing.ca/23-gentile-circ.N4955510.htm#g7-15
2020-10-17,l885277,166 Fossil Hill Rd,Fossil Hill Rd,Vellore Village,Vaughan,$890000,4 baths,3+1 beds,https://vaughan.listing.ca/166-fossil-hill-rd.N4955400.htm#g7-16
2020-10-17,l885266,8 Rosa Crt,Rosa Crt,Sonoma Heights,Vaughan,$1999900,4 baths,5 beds,https://vaughan.listing.ca/8-rosa-crt.N4955242.htm#g7-17
2020-10-17,l885265,20 Castle Park Blvd,Castle Park Blvd,Sonoma Heights,Vaughan,$800000,3 baths,3 beds,https://vaughan.listing.ca/20-castle-park-blvd.N4955241.htm#g7-18
2020-10-17,l885262,106 Casabel Dr,Casabel Dr,Vellore Village,Vaughan,$848800,4 baths,3+1 beds,https://vaughan.listing.ca/106-casabel-dr.N4955212.htm#g7-19
2020-10-17,l885254,31 Torah Gate,Torah Gate,Patterson,Vaughan,$925000,4 baths,3+1 beds,https://vaughan.listing.ca/31-torah-gate.N4955111.htm#g7-1a
2020-10-17,l885249,211 Barons St,Barons St,Kleinburg,Vaughan,$939900,3 baths,3 beds,https://vaughan.listing.ca/211-barons-st.N4955047.htm#g7-1b
2020-10-17,l885248,88 Laval St,Laval St,Vellore Village,Vaughan,$879000,4 baths,3 beds,https://vaughan.listing.ca/88-laval-st.N4955017.htm#g7-1c
2020-10-17,l885228,36 Via Avellino Rd,Via Avellino Rd,Vellore Village,Vaughan,$1475000,4 baths,4 beds,https://vaughan.listing.ca/36-via-avellino-rd.N4954805.htm#g7-1d
2020-10-17,l885214,10600 Bathurst St Vaughan,Bathurst St,Patterson,Vaughan,$915000,3 baths,3+1 beds,https://vaughan.listing.ca/10600-bathurst-st-vaughan.N4954623.htm#g7-1e
