Store,phone,email,address
Durham Metro Courier Ltd.,905-427-8612 1-866-836-9112,info@durhammetrocourier.com,220 Clements Rd. W. #14 Ajax ON L1S 3K5
Rockbrune Bros. Ltd.,1-800-561-4139 416-466-7873 905-683-4321,move@rockbrune.on.ca,725 Finley Ave Ajax ON L1S 3T1
Bryson & Associates Insurance Brokers Ltd.,905-426-8787 1-800-661-5196,info@bryson-insurance.com,541 Bayly Street East Ajax ON L1S 4S7
J & F Trucking Corporation,905-683-7111,info@jandftrucking.com,610 Finley Avenue Ajax ON L1S 2E3
J&E Truck Service,613-362-8858,sales@jetruckservice.com,P.O. Box 467 Alexandria ON K0C 1A0
Briway Carriers Inc.,705-435-9364,jeff@briwaycarriers.com,4107 Tottenham Road Alliston ON L9R 1V4
IBP Transportation,905-304-1178,info@ibptransportation.com,1367 Osprey Drive Unit #3 Ancaster ON L9G 4V5
FF Express,905-648-9300,dispatch@ffexpress.ca,1370 Sandhill DriveUnit 2 Ancaster ON L9G4V5
G. & J. Whittaker Trucking Inc.,519 846 9242,grant.whittaker@sympatico.ca,R. R. # 1 Arthur ON N0G 1A0
J & R Hall Transport Inc.,519-632-7429,operations@jrhall.ca,552 Piper Street Ayr ON N0B 1E0
Stage Door Transportation,519-624-9500 1-866-607-1777,carissa@stagedoortransportation.com,1074 Industrial Road Ayr ON N0B 1E0
Mill Creek Motor Freight,1-800-265-7868 519-623-6632,rhargreaves@millcreek.on.ca,101 Earl Thompson Road Ayr ON N0B 1E0
Liberty Linehaul Inc.,519-740-7072 1-800-465-3781,brian@libertylinehaul.com,214 Boida Ave RR#1 Ayr ON N0B 1E0
DriverCheck Inc.,519-632-9371 1-800-463-4310,drivercheck@drivercheck.ca,1 Manley Street Ayr ON NOB 1E0
Rent A Buddy,705-994-3568,johncamuso@mail.com,38 Ferndaile Barrie ON L4N 9V4
Raki Bros Inc,705-243-5159,RakiBros@RakiBros.com,19 Benjmain Barrie ON L4N0S3
CS-1 Transportation,905-948-9229,ksingh@shipcs1.com,92 Capan Avenue Barrie ON L4N0Z7
Craler Internatonal Inc,705 725-7747,mark@craler.com,75 Hooper Road Barrie ON L4N9S3
Oms Express,705-734-1633.,dispatch@omsx.ca,112 Saunders Road Barrie ON L4N 9A8
DriveWise,705 730 1130,info@drivewisecanada.com,237 mapleview Ave. E. Unit A3. Barrie ON L4N 0W5
Larway Transportation,(800) 263-7484,chriscobby@larway.com,85 Ellis Drive Barrie ON L4N 8Z3
Premiere Van Lines,705-719-7856,barrie@premierevanlines.com,200 Brock Street Barrie ON L4N 2M4
Chantler Transport,1-888-266-6651,schantler@chantlertransport.com,15 Elliott Drive Barrie ON L4N 4V6
Near North Customs Brokers Inc.,1-888-739-4002 705-739-0024,djupp@nearnorthcustoms.com,20 Elliott Ave. Barrie ON L4M 4V7
J-Line Transport Limited,905-563-4908,mtownsley@jlinetransport.com,4751 Christie Drive Beamsville ON L0R1B5
J. E. Culp Transport Ltd,905-563-5055,dan@jeculptransport.com,4815 Merritt Road Beamsville ON L0R1B1
Ace Transport Services Ltd,905-563-7223,acetransportservices@sympatico.ca,5010 South Service Rd Beamsville ON L0R 1B3
